ProgramType,ActivityCode,GranteeStatus,BHCMISId,grantnumber,BPHCAssignedSiteNumber,SiteName,SiteType,TemporarySiteFlag,SiteStatus,SiteTerminatedDate,SiteLocation,LocationSetting,SiteOpenedDate,SiteEffectiveDate,SiteOperationalByDate,SitePhysicalAddress,PhysicalCongressionalDistrict,ServiceAreaZipCodes,OperatingMonths,TotalWeeklyHoursOfOperation,SiteOperatedBy,NoOfVoucherSites,NoOfIntermittentSites,MedicaidBillingNumber,PhysicalMailStopCode,PhysicalDivisionLine,PhysicalStreetNumber,PhysicalStreetAddress,PhysicalPostOfficeBoxNumber,PhysicalRuralRouteNumber,SitePhysicalCity,SiteState,SiteRegion,SitePhysicalRegion,PhysicalZipCode,PhysicalZip4Code,PhysicalCounty,OrganizationStreetAddress,OrganizationCity,OrganizationState,OrganizationZipCode,OrganizationZip4Code,SiteMailingAddress,MailingMailStopCode,MailingDivisionLine,MailingStreetNumber,MailingStreetAddress,MailingUnit,MailingPostOfficeBoxNumber,MailingRuralRouteNumber,MailingCity,MailingState,MailingZipCode,MailingZip4Code,MailingCongressionalDistrict,OrganizationName,OperatingOrgPhysicalAddress,OperatingOrgMailingAddress,OperatingOrgEIN,ProjectDirector,PDPhone,PDPhoneExtension,PDEmail,SitePhoneExtension,SitePhoneNumber,SiteAdminPhone,SiteAdminPhoneExtension,RelatedARRAGrantsFlag,RelatedARRAGrants,RelatedACAGrantsFlag,RelatedACAGrants,NationalProviderIdentificationNumber,MedicareBillingNumber,MedicareBillingNumberStatus,HRSAAssignedSiteNumber,CalendarSchedule,OperationalSchedule,PopulationType,MedicaidPharmacyBillingNumber,SiteFaxNumber,DUNS,ServiceAreaCensusTracts
Section 330,H80,Inactive,51440,H80CS00332,BPS-H80-003860,NORTHERN MENOMINEE HEALTH CENTER SOUTH,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,1/5/98,1/5/98,1/5/98,"805 1st St, Menominee, MI 49858-3231",MI-01,"498,214,984,849,858,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",43,Health Center/Applicant,,NULL,none,,,NULL,805 1st St,NULL,NULL,Menominee,MI,Region V,Region V,49858,3231,Menominee,220 W WASHINGTON ST STE 430,MARQUETTE,MI,49855,4346,"805 1st St, Menominee, MI 49858-3231",,,805,1st St, ,,,Menominee,MI,49858,3231,MI-01,"UPPER PENINSULA ASSOCIATION OF RURAL HEALTH SERVICES, INCORPORATED",NULL,NULL,NULL,Donna M Jaksic,(906)-228-3613,,uparhs@ncc-mi.net,,(906)-863-2315,(906)-863-2315,,No,N/A,No,N/A,NULL,none,NULL,10251,Year-Round,Full-Time,Rural,none,(906)-863-7245,166925941,"960,496,059,606"
Section 330,H80,Inactive,51440,H80CS00332,BPS-H80-005307,EWEN DENTAL CENTER,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,1/10/97,1/10/97,1/10/97,"20106 HWY M-28, EWEN, MI 49925",MI-01,"499,084,991,049,911,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL,36,Health Center/Applicant,,NULL,none,,,NULL,20106 HWY M-28,NULL,NULL,EWEN,MI,Region V,Region V,49925,NULL,Ontonagon,220 W WASHINGTON ST STE 430,MARQUETTE,MI,49855,4346,"Post Office Box 260, Ewen, MI 49925-0260",,,NULL,NULL, ,260,,Ewen,MI,49925,260,MI-01,"UPPER PENINSULA ASSOCIATION OF RURAL HEALTH SERVICES, INCORPORATED",NULL,NULL,NULL,Donna M Jaksic,(906)-228-3613,,uparhs@ncc-mi.net,,(906)-988-2468,(906)-988-2210,,Yes,C81CS13961(Used),No,N/A,NULL,none,NULL,10081,Year-Round,Full-Time,Rural,none,(906)-988-2388,166925941,"970,197,029,703"
Section 330,H80,Inactive,51440,H80CS00332,BPS-H80-009160,Sawyer Dental Center,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,1/8/05,11/4/09,1/18/05,"301 Explorer STE B, Gwinn, MI 49841-2813",MI-01,"49,801,498,064,980,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,301 Explorer STE B,NULL,NULL,Gwinn,MI,Region V,Region V,49841,2813,Marquette,220 W WASHINGTON ST STE 430,MARQUETTE,MI,49855,4346,"301 Explorer, Gwinn, MI 49841-2813",NULL,NULL,301,Explorer, ,NULL,NULL,Gwinn,MI,49841,2813,MI-01,"UPPER PENINSULA ASSOCIATION OF RURAL HEALTH SERVICES, INCORPORATED",NULL,NULL,NULL,Donna M Jaksic,(906)-228-3613,,uparhs@ncc-mi.net,NULL,(906)-372-9267,(906)-372-9267,NULL,No,N/A,No,N/A,NULL,NULL,NULL,14691,Year-Round,Full-Time,Rural,NULL,(906)-372-9266,166925941,"10,002,000,300,040,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-001081,TAFT ELEMENTARY SCHOOL,Service Delivery Site,No,Terminated,1/22/16,Seasonal,School,1/1/99,1/1/99,1/1/99,"270 SOUTHERN AVE, CINCINNATI, OH 45219-3023",OH-01,"452,194,522,045,229","April - April,August - August,December - December,February - February,January - January,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,2607263,,,NULL,270 SOUTHERN AVE,NULL,NULL,CINCINNATI,OH,Region V,Region V,45219,3023,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,,(513)-241-6352,(513)-221-4949,,No,N/A,No,N/A,NULL,0,NULL,11028,Seasonal,Full-Time,Urban,2194969,(513)-241-6353,603747341,"10,11,14,15,16,17,18,19,2,21,22,23,3.01,3.02,34,35,36,37,4,43,44,66,67,68,69,8,9"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-002658,ROCKDALE ACADEMY,Service Delivery Site,No,Terminated,1/22/16,Seasonal,School,1/9/02,1/9/02,1/9/02,"305 ROCKDALE AVE, CINCINNATI, OH 45229-2421",OH-01,"452,194,522,045,229","April - April,August - August,December - December,February - February,January - January,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,2607272,,,NULL,305 ROCKDALE AVE,NULL,NULL,CINCINNATI,OH,Region V,Region V,45229,2421,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,,(513)-636-4704,(513)-221-4949,,No,N/A,No,N/A,NULL,0,NULL,6650,Seasonal,Full-Time,Urban,2194969,(513)-363-4708,603747341,"10,11,14,15,16,17,18,19,2,21,22,23,3.01,3.02,34,35,36,37,4,43,44,66,67,68,69,8,9"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-002834,SOUTH AVONDALE SCHOOL,Service Delivery Site,No,Terminated,1/22/16,Seasonal,School,3/1/03,3/1/03,3/1/03,"636 PROSPECT PL, CINCINNATI, OH 45229-2916",OH-01,"452,194,522,045,229","April - April,August - August,December - December,February - February,January - January,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,2607245,,,NULL,636 PROSPECT PL,NULL,NULL,CINCINNATI,OH,Region V,Region V,45229,2916,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,,(513)-363-5500,(513)-221-4949,,No,N/A,No,N/A,NULL,0,NULL,8579,Seasonal,Full-Time,Urban,2194969,(513)-363-5506,603747341,"10,11,14,15,16,17,18,19,2,21,22,23,3.01,3.02,34,35,36,37,4,43,44,66,67,68,69,8,9"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-004513,NEIGHBORHOOD HEALTH CARE,Administrative/Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,1/1/71,1/1/71,1/1/71,"2415 AUBURN AVE, CINCINNATI, OH 45219-2701",OH-01,"45,202,452,064,520,700,000,000,000,000,000,000",NULL,40,Health Center/Applicant,,NULL,0,,,NULL,2415 AUBURN AVE,NULL,NULL,CINCINNATI,OH,Region V,Region V,45219,2701,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,,(513)-221-4949,(513)-221-4949,,Yes,C81CS14259(Used),No,N/A,NULL,0,NULL,8527,Year-Round,Full-Time,Urban,0,(513)-221-4954,603747341,"10,11,14,15,16,17,18,19,2,21,22,23,3.01,3.02,34,35,36,37,4,43,44,66,67,68,69,8,9"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-007911,Harrison Health Center,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,10/20/08,11/3/08,10/20/08,"10400 New Haven Rd, Harrison, OH 45030-1657",OH-01,45030,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,2881305,NULL,NULL,NULL,10400 New Haven Rd,NULL,NULL,Harrison,OH,Region V,Region V,45030,1657,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(513)-367-5888,(513)-221-4949,NULL,Yes,C81CS14259(Used),No,N/A,NULL,0,NULL,11656,Year-Round,Full-Time,Urban,0,(513)-367-1015,603747341,"106.00,204.01,260.01,260.02,261.01,261.02,262.00"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-007939,Norwood Health Center,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,10/20/08,10/23/08,10/20/08,"4623 Wesley Ave STE G, Cincinnati, OH 45212-2272",OH-02,"4,521,245,237","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,2891401,NULL,NULL,NULL,4623 Wesley Ave STE G,NULL,NULL,Cincinnati,OH,Region V,Region V,45212,2272,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,"2415 Auburn Ave, Cincinnati, OH 45219-2701",NULL,NULL,2415,Auburn Ave, ,NULL,NULL,Cincinnati,OH,45219,2701,OH-01,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(513)-631-3338,(513)-221-4949,NULL,Yes,C81CS14259(Used),No,N/A,NULL,0,NULL,11657,Year-Round,Full-Time,Urban,0,(513)-631-3385,603747341,"252.00,253.00,254.01,254.02,255.00,258.00,59,62.01,62.02,63,64"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-009072,Hughes School-Based Center,Service Delivery Site,No,Terminated,1/22/16,Seasonal,School,-,8/18/09,9/16/09,"2515 Clifton Ave, Cincinnati, OH 45219-1003",OH-01,"4,520,445,205,452,070,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,June - June,March - March,May - May,November - November,October - October,September - September",NULL,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,2515 Clifton Ave,NULL,NULL,Cincinnati,OH,Region V,Region V,45219,1003,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(513)-363-7500,(513)-221-4949,116,No,N/A,No,N/A,NULL,NULL,NULL,12582,Seasonal,Part-Time,Urban,NULL,NULL,603747341,"109,207.05,232.01,33,39,58,67,8,82.02,91,93"
Section 330,H80,Inactive,515190,H80CS00252,BPS-H80-011299,Walnut Hills Evanston Health Center,Service Delivery Site,No,Terminated,1/22/16,Permanent,All Other Clinic Types,4/23/07,4/16/12,5/14/07,"2805 Gilbert Ave, Cincinnati, OH 45206-1210",OH-01,"4,520,645,207,452,190,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,2805 Gilbert Ave,NULL,NULL,Cincinnati,OH,Region V,Region V,45206,1210,Hamilton,2415 AUBURN AVE,CINCINNATI,OH,45219,2701,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NEIGHBORHOOD HEALTH CARE, INC.",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(513)-281-4116,(513)-221-4949,101,Yes,C81CS14259(Used),No,N/A,NULL,NULL,NULL,20138,Year-Round,Full-Time,Urban,NULL,NULL,603747341,"10,11,14,15,16,17,18,19,2,21,22,23,3.01,3.02,34,37,4,43,66,69,8,9"
