"","Grant Number","ZipFilter","MarketShare","value","Tx","Year","None","MCR","COM","MCD","Total","Sites","Att","ID","Expandor","SwitchEMR","eScripts","eDecisionSupport","InterOrgHITexchange","PatientPortals","UDSQualRep","UDSQualRep.levels","UDSQualRep.highlowuse","FirstSwitch","IMM2yo","Pap","ChildBMI","AdultBMI","Tobac","CRC","DepScrn","IMM2yo.denom","Pap.denom","ChildBMI.denom","AdultBMI.denom","Tobac.denom","CRC.denom","DepScrn.denom","TotalAccess","Zips","l.Sites","l.Total","Pct.NHA","Pct.NHB","Pct.HL","Pct.NHW","Pct.ESL","Pct.LessThan100pctFPL","Pct.LessThan200pctFPL","Pct.FarmWorker","Pct.Homeless","Pct.Children","TotalDeliveries","BirthsLT1500","Births1500to2499","BirthsGTE2500","TotalHTN","Sample","Controlcount","Pct.HBW","Pct.HTN.CNTRL","EIN","Unrestricted surplus (deficit) before depreciation","Surplus as a pct of before dep expenses","Unrestricted surplus (deficit) after depreciation","Surplus as a pct of after dep expenses","Total revenue (unrestricted & restricted)","Total revenue, pct change over prior year","Program services revenue","Membership dues","Investment income","Government grants","All other grants and contributions","Other revenue","Total expenses before depreciation","Total expenses, pct change over prior year","Personnel","Professional Fees","Occupancy","Interest","Pass-Through","All other expenses","Total Expenses(after depreciation)","One Month of Savings","Debt Principal Payment","Fixed Asset Additions","Total Full Costs(estimated)","Months of cash","Months of cash and investments","Months of estimated liquid unrestricted net assets","Cash","Investments","Receivables","Gross land, buildings and equipment (LBE)","Accumulated depreciation (pct of LBE)","Liabilities (as pct of assets)","Unrestricted net assets","Temporarily restricted net assets","Permanently restricted net assets","Total restricted net assets","Total net assets","Liabilities","Staffing","LBE.pct","Qcomp","CostOfCare","Liquidity","Profitability","Efficiency","NetWorth","Altmans.Z"
"11","H80CS00035",1,0.150191860779333,1,0,2019,53.240118311374,8.65824146275881,4.35600968002151,33.7456305458457,3719,12,0,2,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,2015,50,54.68,21.21,74.71,92.51,33.68,82.65,8,918,99,2084,841,573,1700,212,4,2.484906649788,8.22121009392507,2.25867168593708,13.444474321054,33.5574079053509,45.3347674105942,31.4331809626244,55.2904855458883,99.129946674151,0,27.614950255445,4.89378865286367,29,0,2,27,262,262,135,93.1034482758621,51.5267175572519,"39-1200636",800091,16.8,698347,0.143,5569980,0.132,0.234,0,0.015,0.642,0.108,0,4767242,0.101,0.746,0.074,0.054,0,0,0.126,4868986,397270.17,0,0,5266256.17,15.8,17.2,17,6292645,538367,799510,1776341,0.857,5.7,6994397,NA,NA,547802,7542199,429905.343,3556362.532,0.23552030382651,58.4914285714286,1281.86125302501,0.801776213813255,0.0742380323812519,0.0853353556865876,0.165438596491228,6.24883206470749
"12","H80CS00035",1,0.150191860779333,1,0,2020,52.8222996515679,6.37630662020906,3.44947735191638,34.3205574912892,2870,12,0,2,0,0,NA,NA,100,NA,"We use the EHR to extract automated reports",2,100,2015,0,57.06,58.93,82.03,91.82,32.91,82.91,NA,822,56,1775,795,474,1451,212,4,2.484906649788,7.96206730875367,1.80305131761442,10.6102635228849,39.6671289875173,41.0887656033287,34.6393897364771,76.0532949225783,98.9557075981275,0,27.2884882108183,6.24133148404993,NA,0,NA,NA,286,286,164,NA,57.3426573426573,"39-1200636",694758,15.5,620558,0.136,5187338,-0.069,0.122,0,0.002,0.702,0.174,0,4480263,-0.06,0.763,0.073,0.037,0,0,0.128,4554463,373355.25,0,0,4927818.25,17.5,19,19.9,6518988,568950,1021316,1776341,0.898,2.5,7614955,NA,NA,590702,8205657,205141.425,3418440.669,0.216477608069652,57.9514285714286,1561.06724738676,0.830062024592349,0.062773965552908,0.071525790809759,0.39,6.54000332326987
"13","H80CS00039",1,0.29202648244099,1,0,2015,77.9567025701184,5.51349045536952,0.981124026874267,15.5486829476378,9377,7,0,3,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,2014,35.82,13.9,38.77,70.37,84.64,26.15,99.69,67,2913,1393,7394,7441,2073,7023,244,2,1.94591014905531,9.14601516141962,0.511890796630052,44.0546016849739,16.2418684014077,31.7052362162739,4.64967473605631,90.9519844573966,92.0066611157369,0,100,17.6495680921403,22,0,2,16,2082,2082,922,72.7272727272727,44.2843419788665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7628571428571,NA,NA,NA,NA,NA,NA
"14","H80CS00039",1,0.29202648244099,1,0,2016,73.7112226277372,6.15875912408759,1.28877737226277,18.8412408759124,8768,7,0,3,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,2014,21.88,14.5,59.9,85.17,91.4,26.85,99.92,64,2538,1050,6170,3221,2406,7065,244,2,1.94591014905531,9.0788640091878,0.878193430656934,44.8448905109489,17.4498175182482,33.7249087591241,3.70666058394161,85.2734421541761,92.0290718455856,0,100,17.1532846715328,51,5,6,43,2178,2178,967,84.3137254901961,44.3985307621671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0885714285714,NA,NA,NA,NA,NA,NA
"15","H80CS00039",1,0.29202648244099,1,0,2017,65.1241883953416,10.1721117180254,1.97876945274657,22.7249304338864,9703,7,0,3,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,2014,17.95,24.57,85.05,94.23,88.75,10.97,99.76,39,2357,1070,6777,4789,2178,7502,244,2,1.94591014905531,9.1801903950253,0.577141090384417,45.8002679583634,18.0562712563125,32.0931670617335,3.95753890549315,91.3530594656708,92.2292444699799,0,100,16.3145418942595,3,0,1,2,2510,2510,1138,66.6666666666667,45.3386454183267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1828571428571,NA,NA,NA,NA,NA,NA
"16","H80CS00039",1,0.29202648244099,1,0,2018,69.9828277046365,6.41099026903263,1.69433314253005,21.9118488838008,8735,9,0,3,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,2014,10.45,30.55,88.72,98.77,83.21,21.66,96.17,67,2488,851,6899,4390,2493,7514,288,2,2.19722457733622,9.07509322256816,0.698340011448197,46.7544361763022,15.2261018889525,35.4779622209502,2.44991413852318,95.1655982905983,96.2339743589744,0,100,12.20377790498,12,0,2,11,2133,2133,999,91.6666666666667,46.8354430379747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.3614285714286,NA,NA,NA,NA,NA,NA
"17","H80CS00039",1,0.29202648244099,1,0,2019,73.1005459508644,5.37989080982712,1.5582347588717,19.9613284804368,8792,9,0,3,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,2014,22.22,39.65,99.17,98.83,98.13,31.48,95.91,54,2411,722,6774,4221,2443,6478,268,2,2.19722457733622,9.08159749608346,0.875796178343949,45.3025477707006,14.9567788898999,37.0450409463148,2.5705186533212,98.5572468563865,99.602911978822,0,100,10.3958143767061,14,0,1,13,2373,2373,1229,92.8571428571429,51.7909818794775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3414285714286,NA,NA,NA,NA,NA,NA
"18","H80CS00039",1,0.29202648244099,1,0,2020,74.244312870053,3.72390152695544,0.249298846992833,15.3007167341851,6418,9,0,3,0,0,NA,NA,100,NA,"We use the EHR to extract automated reports",2,100,2014,12.82,31.83,94.93,84.82,98.65,26.84,92.27,39,1816,375,5190,3039,1870,4824,268,2,2.19722457733622,8.7668618216698,0.685140073081608,46.0718635809988,15.8495736906212,35.3380024360536,2.67965895249695,99.2626294320678,NA,0,100,8.4652862362972,NA,0,NA,NA,1904,1904,882,NA,46.3235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1657142857143,NA,NA,NA,NA,NA,NA
"19","H80CS00059",2,4.23868312757202,1,0,2015,4.27528675703858,19.2909280500521,37.851929092805,38.5818561001043,6713,1,0,5,0,0,100,100,100,100,"We use the EHR in combination with another data analytic system",3,100,NA,86.05,67.14,60.95,62.86,94.29,54.29,91.43,43,1736,991,4596,4353,1913,4370,62,1,0,8.81180122393875,1.48964695367198,0.863995233129748,3.17294801132132,90.6301206614032,1.90674810070013,36.0975609756098,94.6341463414634,1.93654103977357,2.74095039475644,21.9127066885148,9,0,0,9,1448,1448,879,100,60.7044198895028,"05-0378071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8585714285714,NA,NA,NA,NA,NA,NA
"20","H80CS00059",2,4.23868312757202,1,0,2016,5.0735082156241,18.2185067742865,37.7342173537042,38.9737676563851,6938,1,0,5,0,0,100,100,0,100,"We use the EHR in combination with another data analytic system",3,100,NA,44.44,55.71,75.18,82.46,79.17,49.31,91.52,45,1646,987,4476,3740,1949,3337,62,1,0,8.84476882752969,1.35485730758144,0.893629287979245,3.51686364946671,86.941481695013,1.91697895647161,31.1557788944724,95.4773869346734,2.00345921014702,3.04122225425195,21.9515710579418,16,0,0,16,1534,1534,1000,100,65.1890482398957,"05-0378071",1132418,20.4,898464,0.155,6617463,0.167,0.636,0,0,0.273,0.086,0.004,5545162,0.157,0.685,0.065,0.022,0.002,0,0.226,5779116,462096.83,151663,529680,6922555.83,4.5,4.5,3.4,2066422,0,521983,3961036,0.655,24.2,2920040,106067,0,106067,3026107,732317.894,3798435.97,1.30895437603495,68.2557142857143,799.245027385414,0.462040500861066,0.137181783911024,0.163724049121139,0.0313223140495868,4.61131234104465
"21","H80CS00059",2,4.23868312757202,1,0,2017,5.26315789473684,18.9327485380117,36.7836257309942,39.0204678362573,6840,1,0,5,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,NA,62.79,42.14,65.81,85.86,95.94,55.24,94.72,43,1666,892,4364,3962,1948,3312,62,1,0,8.8305430106166,1.18421052631579,0.950292397660819,3.80116959064327,87.4122807017544,1.90058479532164,37.4545454545455,98.1818181818182,2.30994152046784,3.02631578947368,21.359649122807,6,0,1,5,1713,1713,1085,83.3333333333333,63.3391710449504,"05-0378071",1516441,26.3,1324077,0.222,7266905,0.098,0.669,0,0,0.24,0.086,0.004,5765372,0.04,0.728,0.059,0.025,0.001,0,0.186,5957736,480447.67,0,569027,7007210.67,6.3,6.3,5.2,3049268,0,513515,4530063,0.615,19.1,4244117,91159,0,91159,4335276,828037.716,4197190.816,1.0449307033739,71.7857142857143,842.890643274854,0.535692388067189,0.163610798969856,0.185538313715595,0.0423560209424084,5.33880456052082
"22","H80CS00059",2,4.23868312757202,1,0,2018,5.67217507815989,19.4580914098556,36.8468066100938,38.0229269018907,6717,1,0,5,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,NA,68.42,55.47,87.53,97.76,94.78,66.13,94.33,38,1500,858,4108,3407,1851,3123,62,1,0,8.81239690526686,1.19100789042727,0.923031115081137,4.13875241923478,85.4697037367873,1.87583742742296,43.1754874651811,98.3286908077994,2.20336459729046,3.09662051511091,21.0212892660414,11,1,0,10,1691,1691,1180,90.9090909090909,69.7811945594323,"05-0378071",241580,3.9,28834,0.005,6402928,-0.119,0.671,0,0.002,0.283,0.043,0.002,6191918,0.074,0.709,0.074,0.031,0.002,0,0.184,6404664,515993.17,0,317730,7238387.17,2.3,6.2,4.7,1186292,2005969,509258,4567471,0.595,22.6,4272951,65722,0,65722,4338673,980540.098,4390069.862,1.05273455731741,80.6314285714286,921.827899359833,0.524692011962767,0.00348700385415873,0.0255182313680389,0.0342477876106195,3.66078992282468
"23","H80CS00059",2,4.23868312757202,1,0,2019,5.27099463966647,20.2948183442525,37.6861226920786,36.7480643240024,6716,2,0,5,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,NA,56.41,56.38,93.33,98.98,95.47,64.85,97.04,39,1465,840,4320,3577,1946,3036,94,1,0.693147180559945,8.81224801819743,1.17629541393687,0.81893984514592,4.00536033353186,85.0655151876117,1.39964264443121,33.8250790305585,68.177028451001,3.23108993448481,6.29839189994044,20.369267421084,13,0,3,11,1690,1690,1201,84.6153846153846,71.0650887573965,"05-0378071",224915,3.2,26175,0.004,7159204,0.118,0.656,0,0.005,0.27,0.067,0.003,7066239,0.141,0.674,0.119,0.035,0.001,0,0.17,7264979,588853.25,0,0,7853832.25,0.9,4.5,4.2,521056,2135378,957434,4692287,0.615,21.1,4299126,46727,0,46727,4345853,916974.983,4762645.086,1.07971599591611,80.3514285714286,1052.14994044074,0.523208753027123,0.00315127757668861,0.0111923025756201,0.03739336492891,3.55699789124145
"24","H80CS00059",2,4.23868312757202,1,0,2020,2.26321500542552,18.0437141528445,40.0403038288637,34.4442722058596,6451,2,0,5,0,0,NA,NA,100,NA,"We use the EHR to extract automated reports",2,100,NA,68.06,51.18,86.04,93.48,88.5,65.12,89.25,72,1436,1110,3926,3462,1898,3338,94,1,0.693147180559945,8.77199043653224,1.23095860901677,0.769349130635482,4.61609478381289,84.6284043699031,1.32328050469303,28.8951841359773,69.971671388102,2.47730420064625,4.7853515925527,24.9730727804278,NA,0,NA,NA,1648,1648,1068,NA,64.8058252427185,"05-0378071",-6182,-0.1,-203779,-0.025,7910551,0.105,0.567,0,0.007,0.366,0.059,0.001,7878687,0.115,0.69,0.128,0.034,0.001,0,0.147,8076284,656557.25,0,0,8732841.25,0.9,4.3,3.6,603432,2203695,892742,4800675,0.642,24.2,4095347,NA,NA,118578,4213925,1019769.85,5436294.03,1.13924073162194,77.3757142857143,1221.31250968842,0.495724156006957,-0.0239724657621912,0.00374846598053019,0.0313223140495868,3.23187834616212
"25","H80CS00065",2,1.34537828682045,1,0,2015,7.34593629056267,11.1119380768086,42.5200952664484,39.0220303661804,13436,11,0,6,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,NA,76.44,44.28,39.46,38.93,95.29,49.57,79.54,174,2877,3753,8052,7624,2705,7161,370,5,2.39789527279837,9.50569295073218,0.297707651086633,1.57040785948199,2.31467698719857,92.4456683536767,0.0372134563858291,49.376979936642,78.8067581837381,0,0,37.0422744864543,50,0,0,50,2005,2005,1486,100,74.1147132169576,"16-1133983",993865,11.7,656704,0.075,9457938,0.135,0.495,0,0,0.462,0.003,0.041,8464073,0.139,0.674,0.008,0.071,0.002,0,0.245,8801234,705339.42,23068,0,9529641.42,6.3,6.3,6.1,4416263,0,1008597,5311802,0.382,19.4,7143643,0,0,0,7143643,1385866.742,5704785.202,0.743570472376629,60.5014285714286,629.954822863948,0.665350459947421,0.0611646338498874,0.0925674106160742,0.0415463917525773,5.22977243428594
"26","H80CS00065",2,1.34537828682045,1,0,2016,6.62717770034843,11.0452961672474,42.8571428571429,39.4703832752613,14350,12,0,6,0,0,100,100,100,100,"We use the EHR to extract automated reports",2,100,NA,29.39,41.35,58.64,47.25,99.19,57.59,90.28,245,3033,4011,8193,5790,2907,8316,412,5,2.484906649788,9.57150522118777,0.320557491289199,1.65853658536585,2.1602787456446,92.780487804878,0.0278745644599303,46.3421444527178,77.0755770662695,0.104529616724739,0.0348432055749129,38.7317073170732,68,0,3,66,2462,2462,1832,97.0588235294118,74.4110479285134,"16-1133983",1551017,16.4,1167366,0.119,10985920,0.162,0.464,0,0,0.495,0.002,0.039,9434903,0.115,0.647,0.02,0.063,0.002,0,0.268,9818554,786241.92,30000,1815382,12450177.92,5.3,5.3,5.1,4197246,0,1306643,7118285,0.338,19.6,8311009,0,0,0,8311009,1628957.764,6104382.241,0.856488664613406,60.5271428571428,657.484529616725,0.658445129975233,0.092485335727427,0.122880337412557,0.0410204081632653,5.48972954309275
